code,text,compound,sentiment
29,  opa galera nao usa mais a skill da hutao,0.0,neutral
30,  yo que vos me vuelvo a usa  ya cansaste  te quedaste sin cr dito ,-0.5574,negative
31,  en vrai  a va un peu mieux aujourd hui m me si  a reste un peu s gr gu s entre noir mais   l  poque c    ,0.0,neutral
32,  o que vende   campe o da cara bonitinha os monstrengo quase ningu m usa,0.0,neutral
33,  it s just a thought here so please don t go crazy at me  but i feel the  biden regime could be hidi   ,0.0761,positive
34,pucha ahora ni agendas regalan  cuando te acostumbras a usar agenda es como el calz n  se usa todos los d as   ,0.0,neutral
35,         usa por favor,0.4019,positive
36,in 2021 we     developed our branch in the usa    opened a new branch in india      hired almost 100 new employees   ,0.0,neutral
37,  gop coups are not patriotic  they are crimes against the usa ,0.0,neutral
38,die  meldungen aus der  wissenschaft  forschende aus den usa haben ein hormon entdeckt  das  hnlich wie insulin den   ,-0.5994,negative
39,australija i demokratija   neka hvala il ga ne pusti  odmah a ne da se i ivljava  sramno pona anje  da li bi smeli nekom trniseru iz usa,0.0,neutral
40,2010 dodge ram 1500   export cars from usa   car for sale in online auto auction  ,0.0,neutral
41,  want to flick a cat in its nuts   let s disrupt the mining space caterpillar has dominated  tesla mining   ,-0.25,negative
42,        but don t get me wrong  usa is in somali longtime ago ,-0.631,negative
43,  usa  ,0.0,neutral
44,    usa    too ,0.0,neutral
45,no entiendo  sa gente qu  usa la tristeza para llamar la atenci n    ,-0.296,negative
46,fica numa grande d vida se essa   s  voc  mesmo ou mais uma das milh es de m scaras que voc  usa no dia a dia,-0.296,negative
47,  usa o meu,0.0,neutral
48,h yresiden snakker om usa som om s ppelhauger er relevante  men dette skyldes mindreverdighetskomplekser  hvis jeg   ,0.0,neutral
49,      donalphonso   lol das hat doch damit kaum was zu tun    schauen sie sich mal den neo   ,0.4215,positive
50,  quem saca 80  se tiver oportunidade tamb m saca milh es  usa a cabe a ,0.0,neutral
51,  50 50 xd tiene ataques de hueso y solo puede invocar 1 gaster blaster que lo unico que puede hacer e   ,0.5859,positive
52,  network   sickkkk,0.0,neutral
53,  jordan this tweet has not distracted me from the 1 6 violent  deadly attempt to overthrow the government of the usa ,-0.4337,negative
54,  code 83   in usa                                                                            ,0.0,neutral
55,hoe usa cos  tanto i filtri e photoshop che appena posta una foto normale si sente una regina,0.0,neutral
56,        a diferencia de   cuba en  usa el pueblo come y vive una vida   ,0.0,neutral
57,  ccp sanctioned him and iri threatened to kill him  and usa administration is quiet  hey  americans  keep your heads up ,-0.8271,negative
58,      whatever our feelings on the war it wasn t illegal  it was voted thru pa   ,-0.8176,negative
59,this pic goes so hard feel free to screenshot  ,0.4014,positive
60,                                                           covid19  vaccine  prothomalo  world  palonews  ,0.0,neutral
61,  zukowska termin zosta  po raz pierwszy u yty w spo eczno ci gejowskiej w usa w latach 20  i 30  xx wieku  w tym   ,-0.5574,negative
62,mhealth app development company in the usa  the best mhealth app development company in atlanta usa providing mheal   ,0.6369,positive
63,  see for yourself    ,0.0,neutral
64,  the usa is the only developed country with main stream anti democracy propaganda iike fox and liars like h   ,-0.6369,negative
65,2011 ford f 150 king ranch supercrew 6 5 ft  bed crew cab pickup 4 door   export cars from usa   car for sale in on   ,0.0,neutral
66,dakar rally stage 4 light prototypes results and overall standings      ,0.0,neutral
67,en minutos esta ciudad qued  bajo el agua  importante aviso para usa   a trav s de  ,0.0,neutral
68, best promotion bar for  joomla  website check here       workoutwednesday  wisdomwednesday   ,0.6369,positive
69,me sinto tao atra da por quem usa icon da scar e da lizzie,0.0,neutral
70,silikon fransen barbed wire skirt tabs    silikon  fransen  usa  skirted  jig  basteln   ,0.0,neutral
71,suncoast estates  fl    giant trailer park  hood     via       get real usa white liar   ,-0.5106,negative
72, greenbrier  tubac  minnesota  our diy  forklift operator  training kits are available in  canada and the  usa via   ,0.0,neutral
73,el control remoto de samsung que usa el wifi y el sol para recargarse  ces2022   ,0.0,neutral
74,pinebluff  kennebunk  me  usa  gt  time  11 35 am   temp  30 9 degrees f   humidity  92     wind  wnw at 0 0 mph   bar   ,0.2732,positive
75,achei nas minhas coisa esses marcadores de p gina di macaquinho    eu to com muita d  de usa los pq sao tao fofinho   ,0.0,neutral
76,  vei pra mim n o   nem caimento de roupa  mas simplesmente o fato de ngm ter o corpo igual  n o tem como   ,0.0,neutral
77,  ich weiss  und bis zum heutigen tag ja du musst mal die anti war scene usa checken  die letzten vids i   ,-0.9325,negative
78,    717320      txs  2099 time  05 01 2022  16 34 46 wet version  0x3fffe000  size  1846 445 kb weight  3993 005 kw   ,0.2732,positive
79,on this day in 2010  team usa defeated canada to win the world juniors  john carlson scored the game winning goal i   ,0.6249,positive
80, ent rate    usa la aplicaci n de pago m vil interbancario para hacer pagos en los comercios afiliados    sudeban   ,0.0,neutral
81,      hidalgo     roussel     les socialistes ont une vision id   ,0.25,positive
82,  no usa forro,-0.296,negative
83,  dent   sur cet aspect  je suis d accord  et il y aura un r ponse politique   cela en tant v   ,0.0,neutral
84,  a mi me sali  un taxista que no lo usa que porqu  no le entra suficiente ox geno al cerebro  ,-0.5267,negative
85,la baisse des stocks de  p trole am ricains est moins importante que ce que pr voyaient les analystes rel ve l    ,0.0,neutral
86,ccp sanctioned him and iri threatened to kill him  and usa administration is quiet  hey  americans  keep your heads   ,-0.8271,negative
87,check out this awesome  hot treacle  design on        artwork  artistontwitter   ,0.7073,positive
88, dio de quem usa a conta do insta privada,0.0,neutral
89,etapa 4    prototipos ligeros  luego de su retraso en la etapa 2  seth quintero a bordo de su ot3 02 del red bull o   ,0.0,neutral
90,it s not just a job  it s an adventure   shop now      armor  gear  protectiveequipment   ,0.3182,positive
91,i have 2 new followers from usa  and more last week  see    ,0.0,neutral
92,  e quando usa um t     ,0.0,neutral
93,il celebre fotografo non usa giri di parole per attaccare ancora una volta uno dei suoi bersagli preferiti  ,0.0,neutral
94,  the only reason i have mentioned that is because usa just like in ukraine debacle has promised to defend taiwan,0.6124,positive
95,  um  culos redondo marrom  uma camiseta rosa com listras cinzas  uma bermuda jeans e t nis pretos   luiz   ,0.0,neutral
96,  feliz     eu  aaa eu tamb m kkk 2  picture  foto de miguel e luiz se abra ando  atr s deles  h  um grama   ,0.0,neutral
97,2008 chevrolet express g1500 cargo van   export cars from usa   car for sale in online auto auction  ,0.0,neutral
98,  also k mpfen die usa tats chlich f r die freiheit und demokratie auf der welt   gl ckwunsch  bin jetzt pro usa   p,-0.7579,negative
99,  en casa decimos que usa un rollo diferente en cada casa  y lo que les sobra nos lo regalan para que lo usemos en los cumplea os  ,0.0,neutral
